Instance,Algo,InitCost,FinalCost
chr12a,G,46134,10214
chr12a,S,37966,11248
chr12a,G,52244,11498
chr12a,S,47620,12062
chr12a,G,48000,15972
chr12a,S,36704,20662
chr12a,G,47514,12246
chr12a,S,36602,10096
chr12a,G,49362,14280
chr12a,S,59476,17278
chr12a,G,46764,13700
chr12a,S,54324,10476
chr12a,G,31068,15632
chr12a,S,45394,10192
chr12a,G,49426,12076
chr12a,S,60168,12548
chr12a,G,44274,13348
chr12a,S,43688,17674
chr12a,G,54084,14796
chr12a,S,45486,14714
chr12a,G,45682,12444
chr12a,S,54774,13372
chr12a,G,42272,18436
chr12a,S,35818,10624
chr12a,G,38394,16494
chr12a,S,38238,12486
chr12a,G,56434,16494
chr12a,S,54520,16488
chr12a,G,45076,15956
chr12a,S,42816,13624
chr12a,G,29774,12386
chr12a,S,44384,11444
chr12a,G,61076,19084
chr12a,S,58662,20078
chr12a,G,41364,17090
chr12a,S,33538,13358
chr12a,G,63936,19002
chr12a,S,47684,16152
chr12a,G,46546,10192
chr12a,S,49632,13002
chr12a,G,58996,18068
chr12a,S,50028,11688
chr12a,G,47110,14260
chr12a,S,51118,13430
chr12a,G,52236,12294
chr12a,S,28170,18926
chr12a,G,37990,15782
chr12a,S,49110,14720
chr12a,G,31150,15912
chr12a,S,27612,11402
chr12a,G,29258,11402
chr12a,S,46052,16494
chr12a,G,47116,13068
chr12a,S,45114,13458
chr12a,G,46318,13190
chr12a,S,60166,11560
chr12a,G,45616,15972
chr12a,S,50040,14258
chr12a,G,36520,14514
chr12a,S,54240,14790
chr12a,G,51276,19692
chr12a,S,34696,14514
chr12a,G,44734,13328
chr12a,S,45158,10790
chr12a,G,50180,18308
chr12a,S,77382,13076
chr12a,G,40886,15110
chr12a,S,38792,13384
chr12a,G,39360,15014
chr12a,S,41362,12284
chr12a,G,55524,12130
chr12a,S,31724,18060
chr12a,G,19726,16302
chr12a,S,42860,13888
chr12a,G,56078,16872
chr12a,S,39622,17802
chr12a,G,42176,11374
chr12a,S,52214,10782
chr12a,G,46388,13628
chr12a,S,51620,10624
chr12a,G,39042,15204
chr12a,S,37082,11558
chr12a,G,59384,11992
chr12a,S,43260,12836
chr12a,G,62888,14316
chr12a,S,28290,13384
chr12a,G,48882,15636
chr12a,S,25614,16640
chr12a,G,48074,15320
chr12a,S,70634,10580
chr12a,G,45660,15282
chr12a,S,53154,12750
chr12a,G,37016,10688
chr12a,S,40294,11248
chr12a,G,61300,10096
chr12a,S,58096,14644
chr12a,G,31048,16834
chr12a,S,50850,12576
chr12a,G,49384,19304
chr12a,S,43448,12776
chr12a,G,39394,12816
chr12a,S,34788,13052
chr12a,G,37772,14106
chr12a,S,41436,13486
chr12a,G,46370,11010
chr12a,S,46776,15896
chr12a,G,43382,14876
chr12a,S,53838,12490
chr12a,G,54366,14316
chr12a,S,39230,12334
chr12a,G,39312,10096
chr12a,S,29280,13278
chr12a,G,63972,14106
chr12a,S,48248,17660
chr12a,G,49540,10476
chr12a,S,42080,15930
chr12a,G,36636,13076
chr12a,S,34416,14214
chr12a,G,49552,17520
chr12a,S,41610,11560
chr12a,G,57122,16712
chr12a,S,37240,13322
chr12a,G,49202,12294
chr12a,S,49394,13458
chr12a,G,34528,13476
chr12a,S,40458,14642
chr12a,G,48796,17504
chr12a,S,38886,16362
chr12a,G,40892,14258
chr12a,S,52180,16570
chr12a,G,30898,14002
chr12a,S,36756,12270
chr12a,G,52176,11374
chr12a,S,41710,17674
chr12a,G,56030,12062
chr12a,S,44130,11248
chr12a,G,55006,16258
chr12a,S,33758,16174
chr12a,G,55026,11596
chr12a,S,52154,14558
chr12a,G,44284,14658
chr12a,S,70062,14468
chr12a,G,40128,13302
chr12a,S,40484,12216
chr12a,G,43734,11646
chr12a,S,36442,11488
chr12a,G,58230,11992
chr12a,S,55236,20146
chr12a,G,45184,17438
chr12a,S,39466,12738
chr12a,G,58996,12734
chr12a,S,46586,16682
chr12a,G,47430,16538
chr12a,S,54002,14836
chr12a,G,50928,12174
chr12a,S,53268,13140
chr12a,G,44824,11458
chr12a,S,50970,13238
chr12a,G,48000,21898
chr12a,S,46312,11592
chr12a,G,51252,15800
chr12a,S,39692,11418
chr12a,G,44730,19684
chr12a,S,40608,20078
chr12a,G,34534,13486
chr12a,S,31750,19742
chr12a,G,54694,17206
chr12a,S,35242,10214
chr12a,G,62516,16302
chr12a,S,54736,14720
chr12a,G,35250,21224
chr12a,S,43728,13156
chr12a,G,52760,19546
chr12a,S,42386,10096
chr12a,G,25920,14440
chr12a,S,49908,18252
chr12a,G,38084,16934
chr12a,S,39980,12190
chr12a,G,37440,11838
chr12a,S,42250,12444
chr12a,G,28410,16702
chr12a,S,41352,10214
chr12a,G,41764,17430
chr12a,S,26258,10096
chr12a,G,36630,11646
chr12a,S,36530,18816
chr12a,G,46530,12008
chr12a,S,42958,15178
chr12a,G,55720,13348
chr12a,S,40780,13352
chr12a,G,35166,12314
chr12a,S,63710,17784
chr12a,G,47326,12062
chr12a,S,22510,11418
chr12a,G,33826,18816
chr12a,S,40816,12860
chr12a,G,45574,19352
chr12a,S,37070,12216
chr12a,G,27122,14934
chr12a,S,49060,11636
chr12a,G,53966,17976
chr12a,S,35542,10624
chr12a,G,60422,12816
chr12a,S,49296,11302
chr12a,G,25952,12130
chr12a,S,30386,14784
chr12a,G,38246,16040
chr12a,S,41608,20376
chr12a,G,44436,9552
chr12a,S,45832,12300
chr12a,G,44730,12300
chr12a,S,46844,13356
chr12a,G,50386,10476
chr12a,S,34480,13680
chr12a,G,36364,13298
chr12a,S,41302,11560
chr12a,G,20276,17178
chr12a,S,49174,11864
chr12a,G,48616,17462
chr12a,S,45492,16930
chr12a,G,53932,19068
chr12a,S,48668,13336
chr12a,G,39688,11852
chr12a,S,35778,13390
chr12a,G,41018,11248
chr12a,S,38904,19760
chr12a,G,52734,11646
chr12a,S,46118,12190
chr12a,G,56126,20530
chr12a,S,38754,14440
chr12a,G,41992,11908
chr12a,S,39256,12174
chr12a,G,48488,12062
chr12a,S,38998,11418
chr12a,G,50334,14132
chr12a,S,38802,16532
chr12a,G,46082,12548
chr12a,S,30174,12208
chr12a,G,50684,11248
chr12a,S,45230,15834
chr12a,G,53118,14914
chr12a,S,37102,11198
chr12a,G,41954,17924
chr12a,S,23036,15930
chr12a,G,43534,14762
chr12a,S,44018,13798
chr12a,G,43080,13604
chr12a,S,59120,15918
chr12a,G,47970,11374
chr12a,S,39592,10506
chr12a,G,44146,17018
chr12a,S,51904,16272
chr12a,G,52432,19214
chr12a,S,51894,16666
chr12a,G,45102,18246
chr12a,S,50820,13680
chr15a,G,65286,17678
chr15a,S,72450,11774
chr15a,G,60394,12718
chr15a,S,80006,13922
chr15a,G,51186,14430
chr15a,S,52946,17178
chr15a,G,59192,14220
chr15a,S,66916,15842
chr15a,G,69502,17772
chr15a,S,63952,13918
chr15a,G,61908,15666
chr15a,S,71834,18110
chr15a,G,53182,16292
chr15a,S,52710,13060
chr15a,G,68876,14604
chr15a,S,66606,19616
chr15a,G,58902,11742
chr15a,S,55696,12898
chr15a,G,65166,15966
chr15a,S,58688,14320
chr15a,G,82346,18136
chr15a,S,66892,15176
chr15a,G,67766,14122
chr15a,S,68600,15970
chr15a,G,68026,14652
chr15a,S,35490,15372
chr15a,G,82612,18032
chr15a,S,55970,15526
chr15a,G,58948,16212
chr15a,S,52964,13234
chr15a,G,70072,15390
chr15a,S,53182,16300
chr15a,G,79686,17274
chr15a,S,66616,16630
chr15a,G,75316,11900
chr15a,S,58206,14886
chr15a,G,72394,15166
chr15a,S,58528,17076
chr15a,G,43106,15206
chr15a,S,62600,15970
chr15a,G,39680,12398
chr15a,S,77178,14624
chr15a,G,66964,14052
chr15a,S,79736,13568
chr15a,G,63220,20250
chr15a,S,53422,16562
chr15a,G,57434,12730
chr15a,S,37266,14382
chr15a,G,91070,17976
chr15a,S,68572,11942
chr15a,G,33540,15218
chr15a,S,68044,14310
chr15a,G,61168,14980
chr15a,S,44728,11576
chr15a,G,73604,11774
chr15a,S,67518,13174
chr15a,G,57482,11800
chr15a,S,46110,13678
chr15a,G,41494,16062
chr15a,S,48354,11890
chr15a,G,55930,16378
chr15a,S,67946,10836
chr15a,G,84094,16548
chr15a,S,77746,14742
chr15a,G,66966,14616
chr15a,S,68604,12642
chr15a,G,50006,16366
chr15a,S,75360,14522
chr15a,G,57262,17490
chr15a,S,67624,15192
chr15a,G,43746,16718
chr15a,S,61634,14768
chr15a,G,50668,20334
chr15a,S,48678,12310
chr15a,G,54814,12944
chr15a,S,64748,11900
chr15a,G,77104,18174
chr15a,S,54658,14414
chr15a,G,57852,16058
chr15a,S,59206,13374
chr15a,G,53986,16184
chr15a,S,55012,10970
chr15a,G,64054,12562
chr15a,S,50790,16392
chr15a,G,75288,11606
chr15a,S,59784,13558
chr15a,G,61982,15652
chr15a,S,68344,10960
chr15a,G,73578,14506
chr15a,S,62420,17074
chr15a,G,52542,18200
chr15a,S,63754,14878
chr15a,G,47956,12128
chr15a,S,65568,18430
chr15a,G,67326,15874
chr15a,S,71028,15208
chr15a,G,55508,16802
chr15a,S,46174,18036
chr15a,G,55012,15396
chr15a,S,52138,14812
chr15a,G,40130,13416
chr15a,S,51014,16116
chr15a,G,56970,20486
chr15a,S,77224,18072
chr15a,G,78566,14574
chr15a,S,68432,11716
chr15a,G,59808,15184
chr15a,S,40752,14802
chr15a,G,47490,15838
chr15a,S,75300,12678
chr15a,G,62658,18664
chr15a,S,70016,15390
chr15a,G,56334,14606
chr15a,S,67602,14066
chr15a,G,46606,17944
chr15a,S,65106,13194
chr15a,G,66006,15508
chr15a,S,69792,14686
chr15a,G,70874,16362
chr15a,S,59858,17154
chr15a,G,81160,15284
chr15a,S,86934,16364
chr15a,G,67884,13404
chr15a,S,72556,15486
chr15a,G,55510,17188
chr15a,S,55818,13654
chr15a,G,86242,21362
chr15a,S,55142,10332
chr15a,G,64808,14976
chr15a,S,74372,15680
chr15a,G,72240,16684
chr15a,S,33710,16362
chr15a,G,56166,16482
chr15a,S,70778,13478
chr15a,G,66128,14168
chr15a,S,69032,18642
chr15a,G,67334,14664
chr15a,S,69612,15652
chr15a,G,65134,15332
chr15a,S,69100,14042
chr15a,G,43642,15940
chr15a,S,58066,17384
chr15a,G,65834,14150
chr15a,S,53288,15004
chr15a,G,58790,13762
chr15a,S,69326,13414
chr15a,G,62502,17714
chr15a,S,60058,15662
chr15a,G,82888,16230
chr15a,S,53592,15074
chr15a,G,79076,14624
chr15a,S,61936,14886
chr15a,G,40628,14466
chr15a,S,61074,15612
chr15a,G,90404,20242
chr15a,S,55266,11740
chr15a,G,62946,13834
chr15a,S,46994,14414
chr15a,G,59064,14404
chr15a,S,40492,14264
chr15a,G,57856,16020
chr15a,S,72744,12662
chr15a,G,49140,16204
chr15a,S,57704,15230
chr15a,G,50740,17032
