Instance,QualityGap,SimToOpt,SimToOther
nug12,-100.1730,0.0833,0.0741
nug12,-100.1730,0.0000,0.1010
nug12,-100.1730,0.0833,0.1237
nug12,-100.1730,0.0833,0.0623
nug12,-100.1730,0.1667,0.1035
nug12,-100.1730,0.0000,0.1271
nug12,-100.1730,0.0833,0.1229
nug12,-100.1730,0.0000,0.1515
nug12,-100.1730,0.0833,0.1279
nug12,-100.1730,0.1667,0.0909
nug12,-100.1730,0.0000,0.1540
nug12,-100.1730,0.0000,0.0581
nug12,-100.1730,0.1667,0.1237
nug12,-100.1730,0.0833,0.1229
nug12,-100.1730,0.1667,0.0800
nug12,-100.1730,0.0000,0.1380
nug12,-100.1730,0.1667,0.0766
nug12,-100.1730,0.1667,0.1221
nug12,-100.1730,0.0833,0.1507
nug12,-100.1730,0.0833,0.1313
nug12,-100.1730,0.0833,0.1507
nug12,-100.1730,0.1667,0.1364
nug12,-100.1730,0.0833,0.1254
nug12,-100.1730,0.5000,0.1170
nug12,-100.1730,0.1667,0.1364
nug12,-100.1730,0.0833,0.1035
nug12,-100.1730,0.0833,0.1574
nug12,-100.1730,0.0833,0.0715
nug12,-100.1730,0.0000,0.1153
nug12,-100.1730,0.3333,0.1136
nug15,-100.0870,0.0000,0.1239
nug15,-100.0870,0.0000,0.0956
nug15,-100.0870,0.1333,0.0882
nug15,-100.0870,0.0000,0.0889
nug15,-100.0870,0.1333,0.0714
nug15,-100.0870,0.0667,0.1205
nug15,-100.0870,0.0667,0.0916
nug15,-100.0870,0.0000,0.0808
nug15,-100.0870,0.0667,0.1111
nug15,-100.0870,0.0000,0.1239
nug15,-100.0870,0.0000,0.0923
nug15,-100.0870,0.2000,0.0889
nug15,-100.0870,0.1333,0.0983
nug15,-100.0870,0.0000,0.1131
nug15,-100.0870,0.0000,0.0721
nug15,-100.0870,0.0667,0.1077
nug15,-100.0870,0.2000,0.0795
nug15,-100.0870,0.2000,0.1044
nug15,-100.0870,0.0000,0.0727
nug15,-100.0870,0.0000,0.0734
nug15,-100.0870,0.0000,0.0869
nug15,-100.0870,0.0667,0.1064
nug15,-100.0870,0.0000,0.0956
nug15,-100.0870,0.1333,0.1279
nug15,-100.0870,0.0667,0.0842
nug15,-100.0870,0.0667,0.1037
nug15,-100.0870,0.0000,0.0660
nug15,-100.0870,0.0000,0.0700
nug15,-100.0870,0.0000,0.0741
nug15,-100.0870,0.0667,0.0916
nug15,-100.0870,0.2000,0.0923
nug15,-100.0870,0.1333,0.1158
nug15,-100.0870,0.0667,0.0606
nug15,-100.0870,0.1333,0.0754
nug15,-100.0870,0.0667,0.0788
