Instance,Run,Algo,InitCost,FinalCost
chr15a,16,S,66616,16630
chr15a,17,G,75316,11900
chr15a,17,S,58206,14886
chr15a,18,G,72394,15166
chr15a,18,S,58528,17076
chr15a,19,G,43106,15206
chr15a,19,S,62600,15970
chr15a,20,G,39680,12398
chr15a,20,S,77178,14624
chr15a,21,G,66964,14052
chr15a,21,S,79736,13568
chr15a,22,G,63220,20250
chr15a,22,S,53422,16562
chr15a,23,G,57434,12730
chr15a,23,S,37266,14382
chr15a,24,G,91070,17976
chr15a,24,S,68572,11942
chr15a,25,G,33540,15218
chr15a,25,S,68044,14310
chr15a,26,G,61168,14980
chr15a,26,S,44728,11576
chr15a,27,G,73604,11774
chr15a,27,S,67518,13174
chr15a,28,G,57482,11800
chr15a,28,S,46110,13678
chr15a,29,G,41494,16062
chr15a,29,S,48354,11890
chr15a,30,G,55930,16378
chr15a,30,S,67946,10836
chr15a,31,G,84094,16548
chr15a,31,S,77746,14742
chr15a,32,G,66966,14616
chr15a,32,S,68604,12642
chr15a,33,G,50006,16366
chr15a,33,S,75360,14522
chr15a,34,G,57262,17490
chr15a,34,S,67624,15192
chr15a,35,G,43746,16718
chr15a,35,S,61634,14768
chr15a,36,G,50668,20334
chr15a,36,S,48678,12310
chr15a,37,G,54814,12944
chr15a,37,S,64748,11900
chr15a,38,G,77104,18174
chr15a,38,S,54658,14414
chr15a,39,G,57852,16058
chr15a,39,S,59206,13374
chr15a,40,G,53986,16184
chr15a,40,S,55012,10970
chr15a,41,G,64054,12562
chr15a,41,S,50790,16392
chr15a,42,G,75288,11606
chr15a,42,S,59784,13558
chr15a,43,G,61982,15652
chr15a,43,S,68344,10960
chr15a,44,G,73578,14506
chr15a,44,S,62420,17074
chr15a,45,G,52542,18200
chr15a,45,S,63754,14878
chr15a,46,G,47956,12128
chr15a,46,S,65568,18430
chr15a,47,G,67326,15874
chr15a,47,S,71028,15208
chr15a,48,G,55508,16802
chr15a,48,S,46174,18036
chr15a,49,G,55012,15396
chr15a,49,S,52138,14812
chr15a,50,G,40130,13416
chr15a,50,S,51014,16116
chr15a,51,G,56970,20486
chr15a,51,S,77224,18072
chr15a,52,G,78566,14574
chr15a,52,S,68432,11716
chr15a,53,G,59808,15184
chr15a,53,S,40752,14802
chr15a,54,G,47490,15838
chr15a,54,S,75300,12678
chr15a,55,G,62658,18664
chr15a,55,S,70016,15390
chr15a,56,G,56334,14606
chr15a,56,S,67602,14066
chr15a,57,G,46606,17944
chr15a,57,S,65106,13194
chr15a,58,G,66006,15508
chr15a,58,S,69792,14686
chr15a,59,G,70874,16362
chr15a,59,S,59858,17154
chr15a,60,G,81160,15284
chr15a,60,S,86934,16364
chr15a,61,G,67884,13404
chr15a,61,S,72556,15486
chr15a,62,G,55510,17188
chr15a,62,S,55818,13654
chr15a,63,G,86242,21362
chr15a,63,S,55142,10332
